pedido_id,data_venda,produto,categoria,quantidade,preco_unitario,regiao,canal,vendedor
PED-01090,2025-02-27,Suporte Monitor,Mobiliario,2,262.69,SUL,E-commerce,Fabio Lemos
PED-01141,2025-09-22,Caixa de Som Bluetooth,Audio,1,394.59,Nordeste,E-commerce,Heitor Braga
PED-00293,2025-02-10,  Mouse Ergonomico  ,Perifericos,1,260.16,Nordeste,Marketplace,Elisa Rocha
PED-00853,2025-12-22,SSD 1TB NVMe,Armazenamento,1,504.06,Norte,Marketplace,Gisele Amaral
PED-00816,2025-05-21,SSD 1TB NVMe,Armazenamento,1,542.92,Nordeste,Marketplace,Diego Matos
PED-00317,2025-02-07,Microfone Condensador,Audio,1,669.29,Sudeste,Marketplace,Fabio Lemos
PED-00278,2025-06-23,Notebook Pro 14,Informatica,1,4933.91,Norte,Televendas,Carla Nunes
PED-01055,2025-03-31,Caixa de Som Bluetooth,Audio,1,368.24,Sul,Televendas,Heitor Braga
PED-01107,2025-02-25,HD Externo 4TB,Armazenamento,1,"600,45",Norte,Marketplace,Gisele Amaral
PED-01099,2025-11-28,Monitor 27 4K,Informatica,1,1665.56,Sul,E-commerce,Elisa Rocha
PED-00928,2025-07-06,Mesa Regulavel,Mobiliario,5,"1971,24",Nordeste,Loja Fisica,Gisele Amaral
PED-00274,2025-12-01,Notebook Pro 14,Informatica,1,4640.51,Centro-Oeste,Televendas,
PED-01148,2025-01-19,Dock Station USB-C,Perifericos,1,810.17,Norte,Televendas,Gisele Amaral
PED-00092,2025-08-04,  Notebook Pro 14  ,Informatica,2,4490.22,Centro-Oeste,E-commerce,Gisele Amaral
PED-00968,2025-12-07,Monitor 27 4K,Informatica,1,1774.65,Nordeste,Televendas,Carla Nunes
PED-00576,2025-09-12,Microfone Condensador,Audio,1,684.00,Sudeste,,Gisele Amaral
PED-00570,2025-05-14,Caixa de Som Bluetooth,Audio,1,360.00,Nordeste,E-commerce,Diego Matos
PED-00093,2025-12-29,Headset Studio,Perifericos,2,608.43,SUL,Marketplace,Carla Nunes
PED-01028,2025-01-29,SSD 1TB NVMe,Armazenamento,2,483.81,Centro-Oeste,Televendas,Heitor Braga
PED-00828,2025-12-17,HD Externo 4TB,Armazenamento,2,623.27,Nordeste,Televendas,Bruno Salles
PED-00306,2025-05-14,  SSD 1TB NVMe  ,Armazenamento,1,493.89,Centro-Oeste,Loja Fisica,Heitor Braga
PED-00095,2025-06-15,Webcam Full HD,Perifericos,3,318.63,Sul,E-commerce,Elisa Rocha
PED-01100,2025-06-08,SSD 1TB NVMe,Armazenamento,3,547.45,Norte,Loja Fisica,Fabio Lemos
PED-00607,2025-11-25,Mesa Regulavel,Mobiliario,1,2056.58,Norte,Loja Fisica,Ana Prado
PED-01066,2025-11-19,Dock Station USB-C,Perifericos,1,870.70,Centro-Oeste,Loja Fisica,Ana Prado
PED-00415,2025-09-11,Teclado Mecanico,Perifericos,5,395.74,nordeste,Televendas,Elisa Rocha
PED-00667,2025-09-24,  Caixa de Som Bluetooth  ,Audio,10,407.60,nordeste,E-commerce,Carla Nunes
PED-00248,2025-07-16,  Teclado Mecanico  ,Perifericos,3,359.98,norte,E-commerce,Carla Nunes
PED-00569,2025-03-08,Microfone Condensador,Audio, 2 ,762.26,CENTRO-OESTE,Marketplace,Bruno Salles
PED-00164,2025-08-16,Notebook Pro 14,Informatica,2,4368.99,Sul,Televendas,Bruno Salles
PED-00795,2025-01-22,Caixa de Som Bluetooth,Audio,1,390.08,Norte,Marketplace,Fabio Lemos
PED-00265,13/11/2025,Mesa Regulavel,Mobiliario,1,2208.54,Sudeste,Marketplace,Elisa Rocha
PED-00190,2025-12-12,Monitor 27 4K,Informatica,1,1742.69,Sudeste,Televendas,Heitor Braga
PED-00431,2025-09-28,Teclado Mecanico,Perifericos,1,377.73,Sudeste,Televendas,Fabio Lemos
PED-00343,2025-11-25,Mouse Ergonomico,Perifericos,3,"236,84",Centro-Oeste,Marketplace,Carla Nunes
PED-00273,2025-08-23,Notebook Pro 14,Informatica,1,4541.09,Sul,Loja Fisica,Fabio Lemos
PED-00982,2025-10-30,Microfone Condensador,Audio,2,686.90,Centro-Oeste,E-commerce,Ana Prado
PED-00689,2025-10-08,Headset Studio,Perifericos,2,540.26,Nordeste,Loja Fisica,Elisa Rocha
PED-00760,2025-10-04,Notebook Pro 14,Informatica,1,4196.78,Norte,Loja Fisica,Fabio Lemos
PED-01117,2025-10-03,Webcam Full HD,Perifericos,4,336.12,Sul,E-commerce,Elisa Rocha
PED-00702,2025-11-27,Mesa Regulavel,Mobiliario,1,"2069,00",Centro-Oeste,Televendas,Heitor Braga
PED-00123,24/03/2025,Webcam Full HD,Perifericos,1,323.74,Nordeste,Marketplace,Heitor Braga
PED-00061,2025-12-29,Caixa de Som Bluetooth,Audio,2,377.50,Centro-Oeste,E-commerce,Diego Matos
PED-01142,2025-09-22,Monitor 27 4K,Informatica,3,1778.41,Sudeste,E-commerce,Fabio Lemos
PED-00508,11/08/2025,Notebook Pro 14,Informatica,1,5123.04,Sul,Loja Fisica,Elisa Rocha
PED-00714,2025-09-02,Suporte Monitor,Mobiliario,5,289.99,Nordeste,E-commerce,Gisele Amaral
PED-00535,2025-10-20,Webcam Full HD,Perifericos,3,318.01,Sul,Televendas,Diego Matos
PED-00425,2025-03-10,Caixa de Som Bluetooth,Audio,1,388.22,Sul,E-commerce,Ana Prado
PED-00032,2025-05-08,Suporte Monitor,Mobiliario,1,285.23,Sul,Loja Fisica,Heitor Braga
PED-00097,2025-09-07,Notebook Pro 14,Informatica,1,4474.36,Sul,Televendas,Elisa Rocha
PED-00993,10/04/2025,HD Externo 4TB,Armazenamento,2,604.89,Sul,E-commerce,Carla Nunes
PED-00263,2025-10-25,HD Externo 4TB,Armazenamento, 2 ,676.88,Sul,Loja Fisica,Fabio Lemos
PED-00854,01/05/2025,Cadeira Ergonomica,Mobiliario,3,1428.77,Sul,E-commerce,Heitor Braga
PED-00244,2025-06-06,  Notebook Pro 14  ,Informatica,1,4802.88,Centro-Oeste,Marketplace,Carla Nunes
PED-00896,2025-06-15,Dock Station USB-C,Perifericos,1,917.30,NORDESTE,Loja Fisica,Bruno Salles
PED-00651,2025-11-02,Suporte Monitor,Mobiliario,2,288.62,Norte,E-commerce,Diego Matos
PED-00794,2025-11-12,  Monitor 27 4K  ,Informatica,5,1874.35,Centro-Oeste,Televendas,Heitor Braga
PED-00917,2025-10-07,Headset Studio,Perifericos,1,591.10,Sul,Televendas,Diego Matos
PED-00500,2025-05-30,Notebook Pro 14,Informatica,1,4323.57,Sudeste,Marketplace,Bruno Salles
PED-00441,2025-05-18,Headset Studio,Perifericos,1,602.73,Sudeste,E-commerce,Fabio Lemos
PED-01139,2025-08-01,Notebook Pro 14,Informatica,1,4855.97,Nordeste,Loja Fisica,
PED-00543,2025-02-11,Monitor 27 4K,Informatica,1,1777.71,Centro-Oeste,Televendas,Carla Nunes
PED-00799,2025-05-27,Webcam Full HD,Perifericos,4,330.56,centro-oeste,Loja Fisica,Gisele Amaral
PED-00016,2025-02-26,HD Externo 4TB,Armazenamento,1,699.81,Sul,Loja Fisica,Gisele Amaral
PED-00090,2025-05-05,Notebook Pro 14,Informatica,2,4968.80,Sudeste,Televendas,Bruno Salles
PED-00191,2025-08-01,Mesa Regulavel,Mobiliario,1,2224.54,Nordeste,Loja Fisica,Bruno Salles
PED-00934,2025-03-16,Cadeira Ergonomica,Mobiliario,1,1531.87,Sul,Marketplace,Carla Nunes
PED-00778,2025-12-31,HD Externo 4TB,Armazenamento,5,672.53,Sudeste,E-commerce,Diego Matos
PED-00116,2025-05-17,Notebook Pro 14,Informatica,2,4789.89,Sul,E-commerce,Ana Prado
PED-00533,2025-11-04,Caixa de Som Bluetooth,Audio,1,427.99,Centro-Oeste,Televendas,Carla Nunes
PED-01111,2025-05-16,Dock Station USB-C,Perifericos,2,867.54,Nordeste,Loja Fisica,Diego Matos
PED-00919,2025-10-11,Dock Station USB-C,Perifericos,1,880.44,Sul,Marketplace,Diego Matos
PED-00271,2025-06-17,Teclado Mecanico,Perifericos,5,401.78,Norte,Televendas,Diego Matos
PED-00051,2025-03-18,Notebook Pro 14,Informatica,5,4832.32,NORTE,E-commerce,Fabio Lemos
PED-00749,2025-09-16,Monitor 27 4K,Informatica,3,1718.39,Nordeste,Loja Fisica,Heitor Braga
PED-01020,2025-09-08,Dock Station USB-C,Perifericos,1,778.25,Centro-Oeste,Loja Fisica,Carla Nunes
PED-00298,2025-11-27,Dock Station USB-C,Perifericos,5,813.67,Sudeste,E-commerce,Diego Matos
PED-00710,2025-04-01,Monitor 27 4K,Informatica,5,1771.25,Norte,Marketplace,Gisele Amaral
PED-00524,2025-12-19,Monitor 27 4K,Informatica,3,1614.10,SUDESTE,Televendas,Ana Prado
PED-00640,2025-12-01,Cadeira Ergonomica,Mobiliario,2,1318.31,Centro-Oeste,Televendas,Bruno Salles
PED-01093,18/06/2025,Teclado Mecanico,Perifericos,3,384.20,SUDESTE,Televendas,Bruno Salles
PED-01062,2025-08-13,Mouse Ergonomico,Perifericos,1,256.91,Nordeste,Marketplace,Ana Prado
PED-00822,2025-11-23,Notebook Pro 14,Informatica,1,4704.59,Sul,E-commerce,Diego Matos
PED-00460,2025-03-03,SSD 1TB NVMe,Armazenamento,1,495.75,Sudeste,Loja Fisica,Elisa Rocha
PED-01000,2025-03-02,Suporte Monitor,Mobiliario,1,278.69,Sul,Loja Fisica,Carla Nunes
PED-01125,2025-08-29,Notebook Pro 14,Informatica,1,4866.73,Nordeste,Marketplace,Diego Matos
PED-00779,2025-07-21,Caixa de Som Bluetooth,Audio,2,"384,10",Sul,E-commerce,Fabio Lemos
PED-00488,2025-03-14,Mesa Regulavel,Mobiliario,2,2375.50,Nordeste,E-commerce,Diego Matos
PED-01150,2025-06-24,Notebook Pro 14,Informatica,2,4461.88,SUL,E-commerce,Ana Prado
PED-00996,2025-03-25,  Headset Studio  ,Perifericos,3,558.51,Sudeste,Loja Fisica,Carla Nunes
PED-00025,2025-04-13,Caixa de Som Bluetooth,Audio,2,417.32,Nordeste,Marketplace,Fabio Lemos
PED-00001,2025-05-06,Mesa Regulavel,Mobiliario,1,2286.13,Sul,Loja Fisica,Bruno Salles
PED-00386,2025-09-24,Mouse Ergonomico,Perifericos,1,251.61,Centro-Oeste,Televendas,Heitor Braga
PED-00044,2025-05-06,Monitor 27 4K,Informatica,5,1836.85,Nordeste,Televendas,Carla Nunes
PED-00002,2025-10-30,Mesa Regulavel,Mobiliario,3,"2196,28",Centro-Oeste,E-commerce,Ana Prado
PED-00232,2025-02-26,Mesa Regulavel,Mobiliario,3,2155.86,Centro-Oeste,E-commerce,Diego Matos
PED-00279,2025-01-21,Teclado Mecanico,Perifericos,2,362.72,Sudeste,E-commerce,Carla Nunes
PED-00255,2025-03-13,HD Externo 4TB,Armazenamento,1,731.87,Sul,Marketplace,Ana Prado
PED-00761,2025-12-11,  HD Externo 4TB  ,Armazenamento,2,615.57,Centro-Oeste,Marketplace,Bruno Salles
PED-00545,2025-03-08,SSD 1TB NVMe,Armazenamento,3,552.27,Norte,Marketplace,Gisele Amaral
PED-00857,2025-04-22,SSD 1TB NVMe,Armazenamento,2,473.40,Sul,E-commerce,Carla Nunes
PED-00593,2025-05-27,Teclado Mecanico,Perifericos,1,"392,67",Nordeste,Loja Fisica,Ana Prado
PED-00309,2025-12-27,Monitor 27 4K,Informatica,1,1701.40,Nordeste,E-commerce,Elisa Rocha
PED-01124,2025-11-27,Caixa de Som Bluetooth,Audio,1,397.61,Nordeste,Marketplace,Gisele Amaral
PED-00748,2025-07-03,Suporte Monitor,Mobiliario,1,272.79,Centro-Oeste,Marketplace,Bruno Salles
PED-00691,2025-07-25,Webcam Full HD,Perifericos,2,304.15,Nordeste,Marketplace,Carla Nunes
PED-00629,2025-07-04,Suporte Monitor,Mobiliario,3,261.49,SUL,Televendas,Heitor Braga
PED-00097,2025-09-07,Notebook Pro 14,Informatica,1,4474.36,Sul,Televendas,Elisa Rocha
PED-00591,2025-10-20,Dock Station USB-C,Perifericos,1,842.01,Centro-Oeste,Televendas,Gisele Amaral
PED-00889,2025-12-11,Dock Station USB-C,Perifericos,2,799.54,Norte,Loja Fisica,Fabio Lemos
PED-00492,2025-09-03,Headset Studio,Perifericos,2,521.30,Norte,Loja Fisica,Carla Nunes
PED-00616,2025-07-19,Mesa Regulavel,Mobiliario,1,"2091,41",Sudeste,E-commerce,Bruno Salles
PED-00187,2025-07-25,Monitor 27 4K,Informatica,4,1724.24,SUDESTE,Loja Fisica,Ana Prado
PED-00622,2025-04-18,  HD Externo 4TB  ,Armazenamento,2,606.05,Nordeste,Loja Fisica,Gisele Amaral
PED-00812,2025-01-17,Notebook Pro 14,Informatica, 2 ,4192.41,Norte,Televendas,Fabio Lemos
PED-00595,2025-10-15,Notebook Pro 14,Informatica,2,4817.16,Sul,Marketplace,Diego Matos
PED-00627,2025-12-04,Headset Studio,Perifericos,1,548.49,Nordeste,Loja Fisica,Fabio Lemos
PED-00319,2025-11-25,Webcam Full HD,Perifericos,1,288.56,Centro-Oeste,Televendas,Gisele Amaral
PED-00650,2025-11-16,Dock Station USB-C,Perifericos,2,893.11,NORTE,Televendas,Carla Nunes
PED-00442,2025-05-15,  Dock Station USB-C  ,Perifericos,1,849.75,Norte,E-commerce,Heitor Braga
PED-00848,2025-07-06,Monitor 27 4K,Informatica,4,1742.37,Centro-Oeste,Loja Fisica,Fabio Lemos
PED-00410,2025-03-09,Mouse Ergonomico,Perifericos,4,218.76,Sul,Loja Fisica,Fabio Lemos
PED-00137,2025-06-19,Notebook Pro 14,Informatica,1,5100.62,Sudeste,Marketplace,Bruno Salles
PED-00475,2025-10-27,Dock Station USB-C,Perifericos,10,850.74,Sul,Loja Fisica,Bruno Salles
PED-00606,2025-09-01,Teclado Mecanico,Perifericos,5,379.63,Norte,E-commerce,Bruno Salles
PED-00178,2025-08-21,SSD 1TB NVMe,Armazenamento,4,512.09,Centro-Oeste,Marketplace,Bruno Salles
PED-00366,2025-10-12,Notebook Pro 14,Informatica,1,4595.47,Norte,Marketplace,Bruno Salles
PED-00110,2025-11-07,Teclado Mecanico,Perifericos,1,391.03,Norte,Loja Fisica,Gisele Amaral
PED-00294,2025-10-03,Suporte Monitor,Mobiliario,1,248.43,Nordeste,Televendas,Carla Nunes
PED-00467,2025-03-04,Caixa de Som Bluetooth,Audio, 4 ,423.93,Sudeste,Marketplace,Ana Prado
PED-00502,2025-04-06,Monitor 27 4K,Informatica,1,1658.06,Centro-Oeste,E-commerce,Elisa Rocha
PED-00883,2025-11-25,Cadeira Ergonomica,Mobiliario,3,1369.33,Nordeste,E-commerce,Ana Prado
PED-00926,2025-05-22,SSD 1TB NVMe,Armazenamento,3,"539,04",Sudeste,Loja Fisica,Bruno Salles
PED-00976,13/12/2025,Notebook Pro 14,Informatica,1,4987.26,Sudeste,Marketplace,
PED-00678,2025-01-05,Webcam Full HD,Perifericos,5,313.64,Nordeste,Loja Fisica,Elisa Rocha
